SN,Vid. ID,Title,SubjectForWeb,SubjectForDescription,YouTubeLink,InfoPageLink,DescriptionInfoPageLink,VisualsLink,Hashtags,CompanionVideo,PreviousVideo,NextVideo,DescriptionText,,https://www.youtube.com/playlist?list=PLf9RV6P-qIdDY3hgaCRIyv5ntljNfyENk
001,1,From Mole to Megawatt: The Full Journey Through Chemical and Thermal Engineering,Intro to DOFPro CTP,an introduction to the DOFPro CTP videos and website,https://youtu.be/8FEmNkiU1Jk,basics/intro/IntroTopicsWebPage.qmd,https://tinyurl.com/55hsrsv9,basics/intro/1-MoleToMegawattVisuals.qmd,#EnergyEngineering #MechanicalEngineering #Sustainability,,,003,"This video explores an introduction to the DOFPro CTP videos and website. The *DOFPro.org/CTP* video series explains the basics of _Chemical Engineering_ and _Thermodynamics_ .
This video's web-page link with definitions and additional links and/or information is https://tinyurl.com/55hsrsv9.

Playlist link (all videos in order): https://www.youtube.com/playlist?list=PLf9RV6P-qIdDY3hgaCRIyv5ntljNfyENk

Next video: https://youtu.be/yFOrwNmEbPA

The Degrees of Freedom Project (DOFPro) publishes Creative Commons learning tools with Open Source software for problem solving. Our two main areas are _Chemical and Thermal Processing_ (CTP) and _High Power Rocketry_ (RCK).

The main website is https://DOFPro.org
The CTP website is https://DOFPro.org/CTP
The RCK website is https://DOFPro.org/RCK

#ChemicalEngineering
#Thermodynamics
#CreativeCommons
#OpenSource
#EnergyEngineering #MechanicalEngineering #Sustainability",,
003,21,Is Your Process Data Spread Smooth or Chunky? Just the Facts,"Data Visualization, linear and Log Coordinates","data visualization, plotting on linear, semilog, and log-log coordinates",https://youtu.be/yFOrwNmEbPA,basics/calculations/DataVisWebPage.qmd,https://tinyurl.com/nhftybaw,basics/calculations/DataVisJTFVisuals.qmd,#DataVisualization #DataFitting #Semilog #Log-Log,004,,005,"This video explores data visualization, plotting on linear, semilog, and log-log coordinates. The *DOFPro.org/CTP* video series explains the basics of _Chemical Engineering_ and _Thermodynamics_ .
This video's web-page link with definitions and additional links and/or information is https://tinyurl.com/nhftybaw.

Playlist link (all videos in order): https://www.youtube.com/playlist?list=PLf9RV6P-qIdDY3hgaCRIyv5ntljNfyENk

Companion video: https://youtu.be/VUyyEmif3fs
Next video: https://youtu.be/VbnpWj9iYAU

The Degrees of Freedom Project (DOFPro) publishes Creative Commons learning tools with Open Source software for problem solving. Our two main areas are _Chemical and Thermal Processing_ (CTP) and _High Power Rocketry_ (RCK).

The main website is https://DOFPro.org
The CTP website is https://DOFPro.org/CTP
The RCK website is https://DOFPro.org/RCK

#ChemicalEngineering
#Thermodynamics
#CreativeCommons
#OpenSource
#DataVisualization #DataFitting #Semilog #Log-Log",,
004,21.25,Is Your Process Data Spread Smooth or Chunky? The Full Story,"Data Visualization, linear and Log Coordinates","data visualization, plotting on linear, semilog, and log-log coordinates",https://youtu.be/VUyyEmif3fs,basics/calculations/DataVisWebPage.qmd,https://tinyurl.com/nhftybaw,basics/calculations/DataVisTFSVisuals.qmd,#DataVisualization #DataFitting #Semilog #Log-Log,003,,005,"This video explores data visualization, plotting on linear, semilog, and log-log coordinates. The *DOFPro.org/CTP* video series explains the basics of _Chemical Engineering_ and _Thermodynamics_ .
This video's web-page link with definitions and additional links and/or information is https://tinyurl.com/nhftybaw.

Playlist link (all videos in order): https://www.youtube.com/playlist?list=PLf9RV6P-qIdDY3hgaCRIyv5ntljNfyENk

Companion video: https://youtu.be/yFOrwNmEbPA
Next video: https://youtu.be/VbnpWj9iYAU

The Degrees of Freedom Project (DOFPro) publishes Creative Commons learning tools with Open Source software for problem solving. Our two main areas are _Chemical and Thermal Processing_ (CTP) and _High Power Rocketry_ (RCK).

The main website is https://DOFPro.org
The CTP website is https://DOFPro.org/CTP
The RCK website is https://DOFPro.org/RCK

#ChemicalEngineering
#Thermodynamics
#CreativeCommons
#OpenSource
#DataVisualization #DataFitting #Semilog #Log-Log",,
005,22,"Interpol Is Late to a Mind-Blowing Math Hack, Just the Facts",Linear Interpolation,1D and 2D linear interpolation,https://youtu.be/VbnpWj9iYAU,basics/calculations/InterpolationWebPage.qmd,https://tinyurl.com/mrxxba9k,basics/calculations/InterpolationJTFVisuals.qmd,#LinearInterpolation #1DInterpolation #2DInterpolation,006,,007,"This video explores 1D and 2D linear interpolation. The *DOFPro.org/CTP* video series explains the basics of _Chemical Engineering_ and _Thermodynamics_ .
This video's web-page link with definitions and additional links and/or information is https://tinyurl.com/mrxxba9k.

Playlist link (all videos in order): https://www.youtube.com/playlist?list=PLf9RV6P-qIdDY3hgaCRIyv5ntljNfyENk

Companion video: https://youtu.be/pbDEc_Q862M
Next video: https://youtu.be/721FxKwDRAU

The Degrees of Freedom Project (DOFPro) publishes Creative Commons learning tools with Open Source software for problem solving. Our two main areas are _Chemical and Thermal Processing_ (CTP) and _High Power Rocketry_ (RCK).

The main website is https://DOFPro.org
The CTP website is https://DOFPro.org/CTP
The RCK website is https://DOFPro.org/RCK

#ChemicalEngineering
#Thermodynamics
#CreativeCommons
#OpenSource
#LinearInterpolation #1DInterpolation #2DInterpolation",,
006,22.25,"Interpol Is Late to a Mind-Blowing Math Hack, The Full Story",Linear Interpolation,1D and 2D linear interpolation,https://youtu.be/pbDEc_Q862M,basics/calculations/InterpolationWebPage.qmd,https://tinyurl.com/mrxxba9k,basics/calculations/InterpolationTFSVisuals.qmd,#LinearInterpolation #1DInterpolation #2DInterpolation,005,,007,"This video explores 1D and 2D linear interpolation. The *DOFPro.org/CTP* video series explains the basics of _Chemical Engineering_ and _Thermodynamics_ .
This video's web-page link with definitions and additional links and/or information is https://tinyurl.com/mrxxba9k.

Playlist link (all videos in order): https://www.youtube.com/playlist?list=PLf9RV6P-qIdDY3hgaCRIyv5ntljNfyENk

Companion video: https://youtu.be/VbnpWj9iYAU
Next video: https://youtu.be/721FxKwDRAU

The Degrees of Freedom Project (DOFPro) publishes Creative Commons learning tools with Open Source software for problem solving. Our two main areas are _Chemical and Thermal Processing_ (CTP) and _High Power Rocketry_ (RCK).

The main website is https://DOFPro.org
The CTP website is https://DOFPro.org/CTP
The RCK website is https://DOFPro.org/RCK

#ChemicalEngineering
#Thermodynamics
#CreativeCommons
#OpenSource
#LinearInterpolation #1DInterpolation #2DInterpolation",,
007,23,No Clear Interpretation a Mind-Blowing Math Hack,Nonlinear Interpolation,nonlinear interpolation and its uses,https://youtu.be/721FxKwDRAU,basics/calculations/InterpolationWebPage.qmd,https://tinyurl.com/mrxxba9k,basics/calculations/NLInterpolationJTFVisuals.qmd,#NonlinearInterpolation,,005,008,"This video explores nonlinear interpolation and its uses. The *DOFPro.org/CTP* video series explains the basics of _Chemical Engineering_ and _Thermodynamics_ .
This video's web-page link with definitions and additional links and/or information is https://tinyurl.com/mrxxba9k.

Playlist link (all videos in order): https://www.youtube.com/playlist?list=PLf9RV6P-qIdDY3hgaCRIyv5ntljNfyENk

Previous video: https://youtu.be/VbnpWj9iYAU
Next video: https://youtu.be/5XMeQ6vWymA

The Degrees of Freedom Project (DOFPro) publishes Creative Commons learning tools with Open Source software for problem solving. Our two main areas are _Chemical and Thermal Processing_ (CTP) and _High Power Rocketry_ (RCK).

The main website is https://DOFPro.org
The CTP website is https://DOFPro.org/CTP
The RCK website is https://DOFPro.org/RCK

#ChemicalEngineering
#Thermodynamics
#CreativeCommons
#OpenSource
#NonlinearInterpolation",,
008,24,The Unauthorized Guide to Using Spreadsheets in Chemical Engineering,Spreadsheet Basics,basics of using spreadsheets for chemical engineering problems,https://youtu.be/5XMeQ6vWymA,basics/calculations/SpreadsheetTechniquesVideoInfoWebPage.qmd,https://tinyurl.com/3ramcd3v,basics/calculations/BasicSpreadsheetTechniquesJTFVisuals.qmd,#SpreadsheetsInChemicalEngineering,,007,009,"This video explores basics of using spreadsheets for chemical engineering problems. The *DOFPro.org/CTP* video series explains the basics of _Chemical Engineering_ and _Thermodynamics_ .
This video's web-page link with definitions and additional links and/or information is https://tinyurl.com/3ramcd3v.

Playlist link (all videos in order): https://www.youtube.com/playlist?list=PLf9RV6P-qIdDY3hgaCRIyv5ntljNfyENk

Previous video: https://youtu.be/721FxKwDRAU
Next video: https://youtu.be/4EfhlWNDQ48

The Degrees of Freedom Project (DOFPro) publishes Creative Commons learning tools with Open Source software for problem solving. Our two main areas are _Chemical and Thermal Processing_ (CTP) and _High Power Rocketry_ (RCK).

The main website is https://DOFPro.org
The CTP website is https://DOFPro.org/CTP
The RCK website is https://DOFPro.org/RCK

#ChemicalEngineering
#Thermodynamics
#CreativeCommons
#OpenSource
#SpreadsheetsInChemicalEngineering",,
009,25,How to Have a Quickie with Your Data Part 1,"$\bar{x}$, $S_{\bar{x}}$, Linear Least Squares","using the mean, the standard error, and linear least-squares fitting to characterize your data",https://youtu.be/4EfhlWNDQ48,basics/calculations/SpreadsheetTechniquesVideoInfoWebPage.qmd,https://tinyurl.com/3ramcd3v,basics/calculations/Video25Visuals.qmd,#DataFitting #Mean #StandardDeviation,,008,010,"This video explores using the mean, the standard error, and linear least-squares fitting to characterize your data. The *DOFPro.org/CTP* video series explains the basics of _Chemical Engineering_ and _Thermodynamics_ .
This video's web-page link with definitions and additional links and/or information is https://tinyurl.com/3ramcd3v.

Playlist link (all videos in order): https://www.youtube.com/playlist?list=PLf9RV6P-qIdDY3hgaCRIyv5ntljNfyENk

Previous video: https://youtu.be/5XMeQ6vWymA
Next video: https://youtu.be/dVmh0EdQT1U

The Degrees of Freedom Project (DOFPro) publishes Creative Commons learning tools with Open Source software for problem solving. Our two main areas are _Chemical and Thermal Processing_ (CTP) and _High Power Rocketry_ (RCK).

The main website is https://DOFPro.org
The CTP website is https://DOFPro.org/CTP
The RCK website is https://DOFPro.org/RCK

#ChemicalEngineering
#Thermodynamics
#CreativeCommons
#OpenSource
#DataFitting #Mean #StandardDeviation",,
010,26,How to Have a Quickie with Your Data Part 2,Nonlinear least squares,fitting nonlinear data by hand and with Solver.,https://youtu.be/dVmh0EdQT1U,basics/calculations/SpreadsheetTechniquesVideoInfoWebPage.qmd,https://tinyurl.com/3ramcd3v,basics/calculations/Video26Visuals.qmd,#NonlinearDataFitting #Lssq #Solver,,009,011,"This video explores fitting nonlinear data by hand and with Solver.. The *DOFPro.org/CTP* video series explains the basics of _Chemical Engineering_ and _Thermodynamics_ .
This video's web-page link with definitions and additional links and/or information is https://tinyurl.com/3ramcd3v.

Playlist link (all videos in order): https://www.youtube.com/playlist?list=PLf9RV6P-qIdDY3hgaCRIyv5ntljNfyENk

Previous video: https://youtu.be/4EfhlWNDQ48
Next video: https://youtu.be/SaI2qdu1wSE

The Degrees of Freedom Project (DOFPro) publishes Creative Commons learning tools with Open Source software for problem solving. Our two main areas are _Chemical and Thermal Processing_ (CTP) and _High Power Rocketry_ (RCK).

The main website is https://DOFPro.org
The CTP website is https://DOFPro.org/CTP
The RCK website is https://DOFPro.org/RCK

#ChemicalEngineering
#Thermodynamics
#CreativeCommons
#OpenSource
#NonlinearDataFitting #Lssq #Solver",,
011,67,Solving Nonlinear Equations with Spreadsheets,See Title,using a spreadsheet and Goal Seek to solve nonlinear equations,https://youtu.be/SaI2qdu1wSE,basics/calculations/SpreadsheetTechniquesVideoInfoWebPage.qmd,https://tinyurl.com/3ramcd3v,basics/calculations/SolvingNonlinearEQsWithSpreadsheetsJTFVisuals.qmd,#Roots #RootsOfNonlinearEquations #GoalSeek,,010,012,"This video explores using a spreadsheet and Goal Seek to solve nonlinear equations. The *DOFPro.org/CTP* video series explains the basics of _Chemical Engineering_ and _Thermodynamics_ .
This video's web-page link with definitions and additional links and/or information is https://tinyurl.com/3ramcd3v.

Playlist link (all videos in order): https://www.youtube.com/playlist?list=PLf9RV6P-qIdDY3hgaCRIyv5ntljNfyENk

Previous video: https://youtu.be/dVmh0EdQT1U
Next video: https://youtu.be/ksg4Babav6o

The Degrees of Freedom Project (DOFPro) publishes Creative Commons learning tools with Open Source software for problem solving. Our two main areas are _Chemical and Thermal Processing_ (CTP) and _High Power Rocketry_ (RCK).

The main website is https://DOFPro.org
The CTP website is https://DOFPro.org/CTP
The RCK website is https://DOFPro.org/RCK

#ChemicalEngineering
#Thermodynamics
#CreativeCommons
#OpenSource
#Roots #RootsOfNonlinearEquations #GoalSeek",,
